name,genres,popularity
Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']",75
Cypress Hill,"['chicano rap', 'gangster rap', 'hip hop', 'rap rock', 'west coast rap']",68
Big Yavo,['alabama rap'],61
CeeLo Green,"['atl hip hop', 'pop rap']",66
DPR IAN,['k-rap'],68
iamjakehill,"['sad lo-fi', 'sad rap']",64
Bryce Vine,['indie pop rap'],62
MO3,"['dfw rap', 'memphis hip hop', 'southern hip hop', 'trap']",61
Adam Calhoun,"['country rap', 'military rap', 'redneck']",61
Plies,"['dirty south rap', 'miami hip hop', 'southern hip hop', 'trap']",64
Baby Bash,"['chicano rap', 'latin hip hop', 'pop rap', 'southern hip hop', 'texas latin rap', 'urban contemporary']",63
Will Smith,"['hip hop', 'pop rap']",68
Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop']",64
Jadakiss,"['battle rap', 'east coast hip hop', 'trap']",66
Drowning Pool,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",65
N.W.A.,"['conscious hip hop', 'gangster rap', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",67
Thousand Foot Krutch,"['alternative metal', 'canadian ccm', 'canadian metal', 'canadian rock', 'christian alternative rock', 'christian rock', 'rap metal']",67
Roscoe Dash,"['atl hip hop', 'dirty south rap', 'futuristic swag', 'southern hip hop', 'trap']",62
Chimbala,"['dembow', 'rap dominicano']",70
Benny The Butcher,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'hip hop', 'upstate ny rap']",63
EARTHGANG,"['atl hip hop', 'indie hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']",63
DJ Drama,"['dirty south rap', 'philly rap', 'southern hip hop', 'trap']",62
Young Money,"['dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",62
Struggle Jennings,['country rap'],61
Filipe Ret,['pop rap brasileiro'],79
BIA,"['rap latina', 'trap queen']",67
Lit,"['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'rap rock', 'socal pop punk']",62
LMFAO,"['dance pop', 'pop', 'pop rap']",68
che,['rage rap'],62
Geolier,"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",79
Mase,"['contemporary r&b', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",65
Juelz Santana,"['gangster rap', 'harlem hip hop', 'hip pop', 'nyc rap', 'pop rap', 'trap']",65
9lokknine,"['florida drill', 'florida rap']",62
Shordie Shordie,"['baltimore hip hop', 'cali rap']",60
Sage The Gemini,"['hyphy', 'pop rap', 'southern hip hop', 'trap']",65
Lil' Kim,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']",65
Nujabes,"['downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']",66
Only The Family,['chicago rap'],62
Jay Sean,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",68
Yung Bleu,"['alabama rap', 'trap']",64
Jaden,"['pop rap', 'rap']",67
Kid Ink,"['pop rap', 'rap', 'southern hip hop', 'trap']",67
Swizz Beatz,"['battle rap', 'dirty south rap', 'southern hip hop', 'trap']",63
Ryan Lewis,['pop rap'],68
Hotboii,"['florida drill', 'florida rap']",61
Pi’erre Bourne,['melodic rap'],62
Far East Movement,"['asian american hip hop', 'dance pop', 'pop rap']",67
Warren G,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']",64
Mike Jones,['dirty south rap'],60
Birdman,"['dirty south rap', 'southern hip hop']",62
Fugees,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']",68
Petey Pablo,"['crunk', 'dirty south rap', 'north carolina hip hop', 'southern hip hop']",62
